Total,Emotion
2.6187,0.9
1.1645,0.4
1.4319,0.7
0.434,0.9
0.4,0.8
1.2885,0.7
0.5,0.8
1.4319,0.9
1.9341,0.7
1.5976,0.8
0.9752,0.6
1.8659,0.5
1.0619,0.3
1.4542,0.3
1.3302,0.5
0.5412,0.3
2.6187,1
0,0.6
1.4982,0.2
1.8714,0.6
1.4542,0.8
0,0.8
0.1,0.9
0.2,0.3
0.3,0.4
0.4,0.8
0.5,0.9
0.6,0.6
0.7,0.5
0.8,0.7
0.9,0.8
1,0.9
1.1,0.7
1.2,0.6
1.3,0.5
1.4,0.6
1.5,0.7
1.4,0.7
1.3,0.6
1.4,0.4
1.3,0.6
1.5,0.9
1.5,0.8
1,0.9
0.9,0.8
0.6,0.7
1.9,0.6
2,0.6
2.1,0.7
2.2,0.5
2.3,0.8
2.4,0.9
2.5,0.9
2.6,0.9
0.7,0.6
0.8,0.6
0.9,0.5
0.7,0.4
0.8,0.6
0.9,0.5
0.5,0.3
0.4,0.8
0.3,0.7
0.2,0.4
0.5,0.6
0.4,0.7
0.3,0.6
0.3,0.5
0.4,0.7
0.8,0.8
0.9,0.6
0,0.3
0.1,0.7
0.1,0.6
0,0.9
1,0.5
1,0.8
1,0.6
1.1,0.7
1.1,0.6
1.1,0.8
1.2,0.5
1.2,0.7
1.2,0.6
2,0.7
2,0.6
2,0.8
2,0.9
2.1,0.7
2.1,0.9
2.1,0.6
2.2,0.8
2.2,0.7
2.3,0.8
2.3,0.9
2.3,1
2.4,0.8
2.4,1
2.4,0.8
2.5,0.9
2.5,0.8
2.5,0.7
2.6,0.8
2.6,0.9
2.6,0.9
